unique_id,speaker,sentence,1_opinion,2_mp,3_mp_context,4_stance_nli,5_stance_nli_context
19811222_189_9,MR. TRUMAN.,"""I might comment that Japan in particular seems to be a serious problem.""",yes,no,,,
19911001_128_5,MR. KELLEY.,"""But I think the staff and everyone else would agree that the question is very much outstanding.""",yes,yes,utterance,contradiction,utterance
19900327_116_3,MR. SYRON.,"""What would your answer be?""",no,,,,
19830713_312_1,MR. MORRIS.,"""The demand for credit is directly related to the level of interest rates.""",no,,,,
19830329_822_1,MR. GUFFEY.,"""You have discarded the first parenthetical sentence in alternative II and you have tried to incorporate an additional sentence.""",no,,,,
19820518_275_17,MR. PARTEE.,"""So, I would take ""B"" for this time but reserve""",yes,yes,utterance,contradiction,utterance
19890516_298_1,MR. KOHN.,"""Well, I interpreted alternative B as maintaining about the same funds rate level as we've been running over the last intermeeting period.""",yes,yes,sentence,,
20070131_392_24,MR. POOLE.,"""With the analysis of why the forecast has moved we could provide some insight into how our thinking has evolved as a consequence of new information.""",no,,,,
19860923_273_5,MS. SEGER.,"""I think the give-back will show up, particularly in the first quarter.""",yes,no,,,
19960924_105_7,MR. GUYNN.,"""Our previous forecast plainly suggested the need for such a slowdown.""",yes,yes,utterance,entailment,utterance
19971112_105_3,MR. PARRY.,"""In particular, if this path were embarked upon somewhat sooner than is assumed in the Greenbook forecast, would you modify the response of the economy in light of the possibility that it might generate some financial consequences that are not incorporated in the forecast?""",no,,,,
20010320_147_8,MR. MEYER.,"""It would leave market participants speculating day in and day out about whether we were in or about to hold an emergency meeting to cut the target funds rate.""",yes,yes,sentence,,utterance
19990203_233_1,MR. PARRY.,"""I agree with much of what has been said.""",yes,no,,,
20031028_194_1,MR. REINHART.,"""The first question is, Is there any clear preference as to the basic structure of the assessment of the outlook?""",no,,,,
20070509_202_3,MS. MINEHAN.,"""There might be other ways--for example, alternative scenarios, qualitative discussions of risk, or that sort of thing--that seem to some of us preferable.""",no,,,,
20020130_187_11,MR. STERN.,"""And I would say that the tourism business has been adversely affected by the weather.""",yes,no,,,
19790522_135_5,MR. COLDWELL.,"""It seems to me that our current posture has some elements of restraint but those elements of restraint are coming in the housing field, largely in the usury ceilings and the thrift flows, which of course are the traditional ways.""",yes,yes,utterance,,
19970702_315_4,MS. PHILLIPS.,"""Should we tighten in August or early fall, we would look rather foolish if we had just removed the bias.""",yes,yes,sentence,entailment,utterance
19830209_928_1,MR. WALLICH.,"""It's on page 4.""",no,,,,
19950201_530_4,MR. LINDSEY.,"""The document came from Treasury International Affairs.""",no,,,,
19851217_653_1,CHAIRMAN VOLCKER.,"""Leave it ""might"" and ""would""?""",no,,,,
