passage_id,date,article_type,title,url,passage_text,code
0,3/22/70,Archives,National Push for School Integration Losing Momentum,https://www.nytimes.com/1970/03/22/archives/national-push-for-school-integration-losing-momentum.html,"Black leaders such as Charles V. Hamilton, professor of political science at Columbia University, have been expres sing concern about placing Ne gro children in “educationally racist” white classrooms, an ap prehension expressed by W. E. B. Du Bois in the 1930's.",Activist
0,3/22/70,Archives,National Push for School Integration Losing Momentum,https://www.nytimes.com/1970/03/22/archives/national-push-for-school-integration-losing-momentum.html,"Black leaders such as Charles V. Hamilton, professor of political science at Columbia University, have been expres sing concern about placing Ne gro children in “educationally racist” white classrooms, an ap prehension expressed by W. E. B. Du Bois in the 1930's.",Social/Political Advocacy
0,3/22/70,Archives,National Push for School Integration Losing Momentum,https://www.nytimes.com/1970/03/22/archives/national-push-for-school-integration-losing-momentum.html,"Black leaders such as Charles V. Hamilton, professor of political science at Columbia University, have been expres sing concern about placing Ne gro children in “educationally racist” white classrooms, an ap prehension expressed by W. E. B. Du Bois in the 1930's.",Out of the Mouth of Academics
0,3/22/70,Archives,National Push for School Integration Losing Momentum,https://www.nytimes.com/1970/03/22/archives/national-push-for-school-integration-losing-momentum.html,"Black leaders such as Charles V. Hamilton, professor of political science at Columbia University, have been expres sing concern about placing Ne gro children in “educationally racist” white classrooms, an ap prehension expressed by W. E. B. Du Bois in the 1930's.",Out of the Mouth of Activists
1,8/14/20,Opinion,Black Like Kamala,https://www.nytimes.com/2020/08/14/opinion/kamala-harris-black-identity.html,"In other words, it is the reality of racism — the ongoing production of race by institutions and structures of racial domination — that fuels this process of group formation. In his 1940 book, “Dusk of Dawn: An Essay Toward an Autobiography of a Race Concept,” W. E. B. Du Bois captured this dynamic in a single sentence, the final point in an imagined dialogue with a white interlocutor. “The Black man,” he wrote, “is a person who must ride ‘Jim Crow’ in Georgia.”",Scholar
1,8/14/20,Opinion,Black Like Kamala,https://www.nytimes.com/2020/08/14/opinion/kamala-harris-black-identity.html,"In other words, it is the reality of racism — the ongoing production of race by institutions and structures of racial domination — that fuels this process of group formation. In his 1940 book, “Dusk of Dawn: An Essay Toward an Autobiography of a Race Concept,” W. E. B. Du Bois captured this dynamic in a single sentence, the final point in an imagined dialogue with a white interlocutor. “The Black man,” he wrote, “is a person who must ride ‘Jim Crow’ in Georgia.”",Mention of Scholarly Work
1,8/14/20,Opinion,Black Like Kamala,https://www.nytimes.com/2020/08/14/opinion/kamala-harris-black-identity.html,"In other words, it is the reality of racism — the ongoing production of race by institutions and structures of racial domination — that fuels this process of group formation. In his 1940 book, “Dusk of Dawn: An Essay Toward an Autobiography of a Race Concept,” W. E. B. Du Bois captured this dynamic in a single sentence, the final point in an imagined dialogue with a white interlocutor. “The Black man,” he wrote, “is a person who must ride ‘Jim Crow’ in Georgia.”",Social/Political Advocacy
2,12/17/15,Education,"Walter J. Leonard, Pioneer of Affirmative Action in Harvard Admissions, Dies at 86",https://www.nytimes.com/2015/12/17/education/walter-j-leonard-pioneer-of-affirmative-action-in-harvard-admissions-dies-at-86.html,Dr. Leonard was assistant dean of Howard University School of Law when he left for Harvard. At Harvard he was chairman of the committee that created the university’s W. E. B. Du Bois Institute for Afro-American Research.,Monumental Memorialization
2,12/17/15,Education,"Walter J. Leonard, Pioneer of Affirmative Action in Harvard Admissions, Dies at 86",https://www.nytimes.com/2015/12/17/education/walter-j-leonard-pioneer-of-affirmative-action-in-harvard-admissions-dies-at-86.html,Dr. Leonard was assistant dean of Howard University School of Law when he left for Harvard. At Harvard he was chairman of the committee that created the university’s W. E. B. Du Bois Institute for Afro-American Research.,Coalition Building
2,12/17/15,Education,"Walter J. Leonard, Pioneer of Affirmative Action in Harvard Admissions, Dies at 86",https://www.nytimes.com/2015/12/17/education/walter-j-leonard-pioneer-of-affirmative-action-in-harvard-admissions-dies-at-86.html,Dr. Leonard was assistant dean of Howard University School of Law when he left for Harvard. At Harvard he was chairman of the committee that created the university’s W. E. B. Du Bois Institute for Afro-American Research.,Out of the Mouth of Academics
3,8/22/94,U.S.,"N.A.A.C.P. Will Remain Strong, Supporters Say",https://www.nytimes.com/1994/08/22/us/naacp-will-remain-strong-supporters-say.html,"""We've been through the Black Power era, the Negro era and the W. E. B. Du Bois period,"" Mrs. Dukes said. ""We've survived 85 years. I'm confident we can survive this.""",Activist
3,8/22/94,U.S.,"N.A.A.C.P. Will Remain Strong, Supporters Say",https://www.nytimes.com/1994/08/22/us/naacp-will-remain-strong-supporters-say.html,"""We've been through the Black Power era, the Negro era and the W. E. B. Du Bois period,"" Mrs. Dukes said. ""We've survived 85 years. I'm confident we can survive this.""",Monumental Memorialization
4,12/2/09,Opinion,Freedom’s Martyr,https://www.nytimes.com/2009/12/02/opinion/02reynolds.html,"Second, he was held in high esteem by many great men of his day. Ralph Waldo Emerson compared him to Jesus, declaring that Brown would “make the gallows as glorious as the cross.” Henry David Thoreau placed Brown above the freedom fighters of the American Revolution. Frederick Douglass said that while he had lived for black people, John Brown had died for them. A later black reformer, W. E. B. Du Bois, called Brown the white American who had “come nearest to touching the real souls of black folk.” Du Bois was right. Unlike nearly all other Americans of his era, John Brown did not have a shred of racism. He had long lived among African-Americans, trying to help them make a living, and he wanted blacks to be quickly integrated into American society. When Brown was told he could have a clergyman to accompany him to the gallows, he refused, saying he would be more honored to go with a slave woman and her children.",Activist
4,12/2/09,Opinion,Freedom’s Martyr,https://www.nytimes.com/2009/12/02/opinion/02reynolds.html,"Second, he was held in high esteem by many great men of his day. Ralph Waldo Emerson compared him to Jesus, declaring that Brown would “make the gallows as glorious as the cross.” Henry David Thoreau placed Brown above the freedom fighters of the American Revolution. Frederick Douglass said that while he had lived for black people, John Brown had died for them. A later black reformer, W. E. B. Du Bois, called Brown the white American who had “come nearest to touching the real souls of black folk.” Du Bois was right. Unlike nearly all other Americans of his era, John Brown did not have a shred of racism. He had long lived among African-Americans, trying to help them make a living, and he wanted blacks to be quickly integrated into American society. When Brown was told he could have a clergyman to accompany him to the gallows, he refused, saying he would be more honored to go with a slave woman and her children.",Social/Political Advocacy
4,12/2/09,Opinion,Freedom’s Martyr,https://www.nytimes.com/2009/12/02/opinion/02reynolds.html,"Second, he was held in high esteem by many great men of his day. Ralph Waldo Emerson compared him to Jesus, declaring that Brown would “make the gallows as glorious as the cross.” Henry David Thoreau placed Brown above the freedom fighters of the American Revolution. Frederick Douglass said that while he had lived for black people, John Brown had died for them. A later black reformer, W. E. B. Du Bois, called Brown the white American who had “come nearest to touching the real souls of black folk.” Du Bois was right. Unlike nearly all other Americans of his era, John Brown did not have a shred of racism. He had long lived among African-Americans, trying to help them make a living, and he wanted blacks to be quickly integrated into American society. When Brown was told he could have a clergyman to accompany him to the gallows, he refused, saying he would be more honored to go with a slave woman and her children.",Collective Synecdoche
5,9/18/13,Business,"Inspired by Professor, Investor Makes Big Gift for Black Studies",https://dealbook.nytimes.com/2013/09/17/inspired-by-professor-investor-makes-big-gift-for-black-studies,"Now their work and Mr. Hutchins’s money will create the Hutchins Center, named at the insistence of Professor Gates. It will unite nine entities, including the W. E. B. Du Bois Institute for African and African-American  Research, the Hiphop Archive and Research Institute and the Ethelbert Cooper Gallery of African and African American Art.",Monumental Memorialization
