Participant Number,Track ID,Full Text ,Positive,Favourite,Negative,Familiar,Unfamiliar,Musical Expressive Characteristics,Lyrics,Musical Meaning,Bass Line,Beat,Hook ,Instrumentation,Melody,Performer,Production,Rhythm,Riffs-Ornamentation,Song Structure/Composition,Sound ,Style,Tempo ,Vocals,Album,Artist ,Era ,Genre,Version,Other Forms of Media,Film,Music Video ,Musical,Playlist,Television,Memory,Discovery,Emotion,Event/Concert,Personal Event,Vacation,Place ,Time or Stage in Life,Girft/Recommendation ,Rediscovery,Reminisce- Nostalgia,Personal Performance ,People,Being Alone,Family ,Friends,Loss of a person,Romantic relationship,Recommendation from Friend/Family ,Accompaniment,Dancing,Driving ,Exercising ,Partying ,Singing ,Sleeping ,Walking ,Working ,Imagination,Season/time of day/weather,Christmas,Summer,Create Atmosphere,Change Mood,Stress/Frustration/Tension,Calm,Energy,Happiness-good mood,Motivation/focus,Sadness,Match Mood,No relationship,Participating in the study 
1,a,"My teenage years  I downloaded the whole album as I like the band  It reminds me of the period in my life where I'd listen to Green Day frequently  In the respect that it reminds me of a time of my life, yes ",My teenage years  I downloaded the whole album as I like the band  ,,,,,,,,,,,,,,,,,,,,,,My teenage years  I downloaded the whole album as I like the band  ,My teenage years  I downloaded the whole album as I like the band/ It reminds me of the period in my life where I'd listen to Green Day frequentl,,,,,,,,,,,,,,,,,"My teenage years  I downloaded the whole album as I like the band/It reminds me of the period in my life where I'd listen to Green Day frequentl/ In the respect that it reminds me of a time of my life, yes ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,b,I don't actually know or remember it  I believe I got it when I downloaded a single  I don't know the track  No - as above ,,,,,I don't actually know or remember it /  I don't know the track ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No - as above ,
2,a,"Emotion I like the song and I really like the singers voice I like the groove of the chorus, I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock No, but I have good memories of seeing the band live. I dont have a personal connection to the lyrics.",I like the song and I really like the singers voice ,,,,,, I dont have a personal connection to the lyrics.,,,,,,,,,,,I like the groove of the chorus,,"I like the groove of the chorus /  I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock ",,"I like the song and I really like the singers voice  /  I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock ",,"No, but I have good memories of seeing the band live. ",," I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock ",,,,,,,,,,Emotion,"No, but I have good memories of seeing the band live. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, but I have good memories of seeing the band live. /  I dont have a personal connection to the lyrics.",
2,b,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs It has a bluesy feel to it. I really like Beth Harts voice Well since leonard cohen died recently I think of this song as a sort of tribute to him. I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer","I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs/  I really like Beth Harts voice",,,,,,,Well since leonard cohen died recently I think of this song as a sort of tribute to him/ I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer,,,,,," am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer, . I really like Beth Harts voice ",,,,,,,, I really like Beth Harts voice,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs","I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs/ I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer",, It has a bluesy feel to it.,,,,,,,,,,,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,a,The story told in the lyrics.  The lyrics are engaging & i wanted to be able to easily find the track. Its a relaxing beat with a complicated message which makes the song engaging.  no,,,,,,"Its a relaxing beat,  with a complicated message which makes the song engaging",The story told in the lyrics. / The lyrics are engaging & i wanted to be able to easily find the track.,The story told in the lyrics. / Its a relaxing beat with a complicated message which makes the song engaging.,,Its a relaxing beat with a complicated message which makes the song engaging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Its a relaxing beat with a complicated message which makes the song engaging.,Its a relaxing beat with a complicated message which makes the song engaging.,,,,,,no,
3,b,Kendrick Lemar's verse  It's a very good song.  The various verses/ artists all in one track.  No, It's a very good song. ,,,,,,,,,,,,,,,,,Kendrick Lemar's verse / The various verses/ artists all in one track.,,,,,,Kendrick Lemar's verse / The various verses/ artists all in one track.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
4,a,"Peaceful Gorgeous song, rich voice, really simple composition  Always calms me down; reminds me to look for what's beautiful  Yes -- although I'd maybe say ""connection"" instead of relationship; inspires an emotional response & have listened to it on repeat before ","Peaceful Gorgeous song, rich voice, really simple composition ",,,"Yes -- although I'd maybe say ""connection"" instead of relationship;  inspires an emotional response & have listened to it on repeat before ",,"Peaceful Gorgeous song, rich voice, really simple composition ",,,,,,,,,,,,"Peaceful Gorgeous song, rich voice, really simple composition ",,,,"Peaceful Gorgeous song, rich voice, really simple composition ",,,,,,,,,,,,,, inspires an emotional response & have listened to it on repeat before ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Always calms me down; reminds me to look for what's beautiful /  inspires an emotional response & have listened to it on repeat before ,Always calms me down; reminds me to look for what's beautiful ,"Peaceful Gorgeous song, rich voice, really simple composition  Gorgeous song, rich voice, really simple composition / Always calms me down; reminds me to look for what's beautiful ",,,,,,,
4,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me., I liked the song very much when I heard it for the first time. ,This band is one of my favorites and this song brings happy summer feeling to me.,,Yes,,,,,,,,, It has nice melody and the cumbia rhythm makes me feel happy.,,, It has nice melody and the cumbia rhythm makes me feel happy.,,,,,,,,This band is one of my favorites and this song brings happy summer feeling to me.,,,,,,,,,,, I liked the song very much when I heard it for the first time.,,,,,,Last summer 2016,,,,,,,,,,,,, I want to sing along and dance at the same time.,,,,I want to sing along and dance at the same time,,,,,,,Last summer 2016 / This band is one of my favorites and this song brings happy summer feeling to me.,,This band is one of my favorites and this song brings happy summer feeling to me.,,,, It makes me happy /  It has nice melody and the cumbia rhythm makes me feel happy. / This band is one of my favorites and this song brings happy summer feeling to me.,,,,,
5,b,Summer and sunny days I like it a lot. It makes me happy. Not really.,I like it a lot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer and sunny days I like it a lot,,Summer and sunny days,,,,,,. It makes me happy. ,,,,Not really.,
