participant_id,track_id,full_response_text
1,a,"My teenage years  I downloaded the whole album as I like the band  It reminds me of the period in my life where I'd listen to Green Day frequently  In the respect that it reminds me of a time of my life, yes "
1,b,I don't actually know or remember it  I believe I got it when I downloaded a single  I don't know the track  No - as above 
2,a,"Emotion I like the song and I really like the singers voice I like the groove of the chorus, I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock No, but I have good memories of seeing the band live. I dont have a personal connection to the lyrics."
2,b,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs It has a bluesy feel to it. I really like Beth Harts voice Well since leonard cohen died recently I think of this song as a sort of tribute to him. I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer"
3,a,The story told in the lyrics.  The lyrics are engaging & i wanted to be able to easily find the track. Its a relaxing beat with a complicated message which makes the song engaging.  no
3,b,Kendrick Lemar's verse  It's a very good song.  The various verses/ artists all in one track.  No
4,a,"Peaceful Gorgeous song, rich voice, really simple composition  Always calms me down; reminds me to look for what's beautiful  Yes -- although I'd maybe say ""connection"" instead of relationship; inspires an emotional response & have listened to it on repeat before "
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.
5,b,Summer and sunny days I like it a lot. It makes me happy. Not really.
6,a,"Hit-Girl's hallway attack The Kick-ass soundtrack Great up beat tempo and fond memories Yes, it's in a great scene from my favorite movie"
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. "
7,b,"It makes me feel sad because of the recent passing of the genius that is Bowie. Because Bowie is my favourite artist It is a classic Yes, this song makes me feel filled with energy and optimism."
8,a,"I remember positive worship experiences listening to this track, both on my phone and live at Church. I have a playlist of worship music I listen to regularly. I feel uplifted, by the music and also by the spiritual connection I feel when I worship. Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God."
8,b,"I don't recognise this, but it's peaceful. I remember looking for some music to support mindfulness meditation a while ago, and must have downloaded it then. I find it peaceful, I instinctively start to focus on my breathing and centre myself when I hear it. No, it isn't one I recall having actively listened to before."
9,a,Grime/stank face It's an absolute banger Sickest baseline Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends
10,a,Don't know this too well but love the artist New songs by an artist i already love its a good song no; its very new however i feel comfort from that artists voice
