participant_id,track_id,full_response_text,code_level3,coded_text_excerpt
1,a,"My teenage years  I downloaded the whole album as I like the band  It reminds me of the period in my life where I'd listen to Green Day frequently  In the respect that it reminds me of a time of my life, yes ",Positive,My teenage years  I downloaded the whole album as I like the band  
1,a,"My teenage years  I downloaded the whole album as I like the band  It reminds me of the period in my life where I'd listen to Green Day frequently  In the respect that it reminds me of a time of my life, yes ",Album,My teenage years  I downloaded the whole album as I like the band  
1,a,"My teenage years  I downloaded the whole album as I like the band  It reminds me of the period in my life where I'd listen to Green Day frequently  In the respect that it reminds me of a time of my life, yes ",Artist ,My teenage years  I downloaded the whole album as I like the band/ It reminds me of the period in my life where I'd listen to Green Day frequentl
1,a,"My teenage years  I downloaded the whole album as I like the band  It reminds me of the period in my life where I'd listen to Green Day frequently  In the respect that it reminds me of a time of my life, yes ",Time or Stage in Life,"My teenage years  I downloaded the whole album as I like the band/It reminds me of the period in my life where I'd listen to Green Day frequentl/ In the respect that it reminds me of a time of my life, yes "
1,b,I don't actually know or remember it  I believe I got it when I downloaded a single  I don't know the track  No - as above ,Unfamiliar,I don't actually know or remember it /  I don't know the track 
1,b,I don't actually know or remember it  I believe I got it when I downloaded a single  I don't know the track  No - as above ,No relationship,No - as above 
2,a,"Emotion I like the song and I really like the singers voice I like the groove of the chorus, I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock No, but I have good memories of seeing the band live. I dont have a personal connection to the lyrics.",Positive,I like the song and I really like the singers voice 
2,a,"Emotion I like the song and I really like the singers voice I like the groove of the chorus, I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock No, but I have good memories of seeing the band live. I dont have a personal connection to the lyrics.",Lyrics, I dont have a personal connection to the lyrics.
2,a,"Emotion I like the song and I really like the singers voice I like the groove of the chorus, I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock No, but I have good memories of seeing the band live. I dont have a personal connection to the lyrics.",Song Structure/Composition,I like the groove of the chorus
2,a,"Emotion I like the song and I really like the singers voice I like the groove of the chorus, I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock No, but I have good memories of seeing the band live. I dont have a personal connection to the lyrics.",Style,"I like the groove of the chorus /  I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock "
2,a,"Emotion I like the song and I really like the singers voice I like the groove of the chorus, I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock No, but I have good memories of seeing the band live. I dont have a personal connection to the lyrics.",Vocals,"I like the song and I really like the singers voice  /  I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock "
2,a,"Emotion I like the song and I really like the singers voice I like the groove of the chorus, I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock No, but I have good memories of seeing the band live. I dont have a personal connection to the lyrics.",Artist ,"No, but I have good memories of seeing the band live. "
2,a,"Emotion I like the song and I really like the singers voice I like the groove of the chorus, I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock No, but I have good memories of seeing the band live. I dont have a personal connection to the lyrics.",Genre," I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock "
